epochs,batch_size,hidden_dim,nodes,latent,activation,train_loss,val_loss
20,1000,3,50,7,ELU,216.624:18.618:13.5:13.024:12.952:12.927:12.914:12.907:12.901:12.898:12.896:12.894:12.893:12.891:12.891:12.89:12.89:12.89:12.893:14.072,24.996:14.169:13.093:12.975:12.938:12.919:12.912:12.904:12.901:12.894:12.893:12.892:12.89:12.889:12.888:12.889:12.888:12.889:12.955:13.503
20,1000,3,50,7,ReLU,181.529:17.038:13.381:13.041:12.974:12.944:12.926:12.916:12.907:12.901:12.897:12.893:12.891:12.889:12.887:12.886:12.885:12.884:12.884:12.882,24.249:13.823:13.123:13.013:12.975:12.952:12.937:12.928:12.921:12.917:12.914:12.909:12.908:12.907:12.905:12.903:12.902:12.902:12.901:12.901
20,1000,3,50,7,SELU,339.512:23.533:13.976:13.1:12.988:12.956:12.94:12.932:12.929:12.927:12.973:16.401:13.12:12.934:12.925:12.923:12.923:12.923:12.923:12.922,40.689:14.606:13.227:12.946:12.897:12.877:12.867:12.863:12.858:12.857:14.505:13.553:12.882:12.856:12.855:12.855:12.855:12.855:12.855:12.855
20,1000,3,50,10,ELU,338.378:22.822:14.108:13.205:13.037:12.976:12.945:12.927:12.916:12.909:12.904:12.9:12.898:12.897:12.895:12.894:12.893:12.893:13.146:13.569,36.159:15.424:13.344:13.078:12.99:12.949:12.927:12.913:12.904:12.9:12.895:12.892:12.89:12.888:12.886:12.886:12.884:12.885:16.802:12.91
20,1000,3,50,10,ReLU,273.549:19.438:13.707:13.15:13.02:12.967:12.943:12.927:12.918:12.912:12.907:12.902:12.9:12.897:12.895:12.896:12.892:12.892:12.89:12.891,28.886:14.628:13.289:13.077:12.996:12.965:12.949:12.935:12.926:12.921:12.917:12.916:12.913:12.91:12.908:12.907:12.906:12.906:12.904:12.903
20,1000,3,50,10,SELU,756.946:44.419:16.721:13.849:13.29:13.099:13.013:12.968:12.94:12.922:12.91:12.901:12.895:12.889:12.886:12.882:12.879:12.878:12.876:12.875,89.801:22.029:14.481:13.48:13.195:13.077:13.021:12.986:12.968:12.951:12.942:12.935:12.928:12.925:12.92:12.919:12.916:12.913:12.912:12.91
20,1000,3,50,20,ELU,637.609:34.296:16.555:14.287:13.677:13.401:13.246:13.148:13.084:13.043:13.015:12.995:12.98:12.97:12.96:12.955:12.949:12.945:13.068:14.578,65.882:19.258:14.844:13.861:13.474:13.27:13.147:13.07:13.016:12.984:12.959:12.939:12.932:12.921:12.911:12.905:12.9:12.896:16.062:12.937
20,1000,3,50,20,ReLU,1849.268:88.215:21.183:14.749:13.489:13.221:13.118:13.07:13.032:13.011:12.994:12.981:12.971:12.964:12.957:12.952:12.945:12.942:12.938:12.937,240.467:28.432:16.162:13.712:13.246:13.091:13.03:12.99:12.965:12.944:12.929:12.918:12.908:12.903:12.898:12.89:12.886:12.885:12.881:12.879
20,1000,3,50,20,SELU,1667.276:91.583:25.779:17.222:15.185:14.341:13.907:13.65:13.482:13.367:13.281:13.218:13.167:13.129:13.097:13.071:13.05:13.031:13.017:13.005,194.142:37.396:19.258:15.858:14.653:14.082:13.754:13.555:13.418:13.323:13.247:13.19:13.148:13.112:13.085:13.061:13.043:13.025:13.012:12.999
20,1000,3,50,50,ELU,2240.115:73.868:20.509:15.165:14.125:13.701:13.465:13.311:13.211:13.139:13.088:13.051:13.026:13.011:15.885:13.141:12.975:12.955:12.946:12.939,149.435:27.174:16.19:14.429:13.856:13.557:13.373:13.251:13.168:13.112:13.07:13.036:13.016:13.235:13.165:12.977:12.958:12.95:12.943:12.937
20,1000,3,50,50,ReLU,3490.776:206.996:25.995:15.214:13.88:13.512:13.32:13.201:13.125:13.068:13.029:13.004:12.977:12.962:12.95:12.938:12.929:12.92:12.912:12.908,666.337:41.114:17.042:14.239:13.675:13.439:13.295:13.201:13.139:13.091:13.06:13.039:13.017:13.006:12.993:12.978:12.972:12.963:12.959:12.95
20,1000,3,50,50,SELU,4976.295:228.445:57.371:31.742:24.357:20.694:18.474:17.053:16.093:15.423:14.937:14.575:14.299:14.086:13.915:13.779:13.664:13.57:13.492:13.425,520.756:90.613:38.472:27.047:22.257:19.467:17.73:16.58:15.785:15.22:14.796:14.483:14.236:14.048:13.895:13.769:13.664:13.578:13.511:13.446
20,1000,3,100,2,ELU,55.347:14.095:12.956:12.869:12.859:12.858:12.857:12.856:12.856:12.856:12.856:12.857:12.856:12.856:12.857:12.857:12.857:12.856:12.857:12.857,14.214:13.015:12.934:12.92:12.917:12.915:12.916:12.915:12.915:12.915:12.913:12.914:12.914:12.914:12.915:12.915:12.914:12.914:12.914:12.913
20,1000,3,100,2,ReLU,27.803:13.15:12.95:12.927:12.923:12.921:12.92:12.922:12.919:12.919:12.919:12.919:12.919:12.919:12.919:12.919:12.919:12.919:12.92:12.921,13.527:12.928:12.87:12.865:12.86:12.861:12.863:12.863:12.86:12.862:12.862:12.864:12.863:12.862:12.862:12.861:12.861:12.863:12.862:12.86
20,1000,3,100,2,SELU,236.46:18.841:13.377:12.93:12.891:12.887:12.886:12.886:12.886:12.885:12.885:12.885:12.885:12.885:12.885:12.885:12.885:12.885:12.885:12.886,22.019:13.989:12.964:12.894:12.887:12.887:12.887:12.886:12.886:12.886:12.885:12.885:12.884:12.885:12.885:12.885:12.885:12.885:12.885:12.885
20,1000,3,100,5,ELU,84.975:14.884:13.087:12.942:12.928:12.926:12.925:12.924:14.117:13.075:12.933:12.924:12.925:12.924:12.924:12.923:12.923:12.923:12.924:12.923,16.927:13.164:12.899:12.857:12.853:12.851:12.849:12.852:13.382:12.864:12.852:12.849:12.851:12.85:12.849:12.848:12.848:12.847:12.848:12.849
20,1000,3,100,5,ReLU,50.485:13.398:12.972:12.929:12.922:12.919:12.917:12.917:12.917:12.917:12.915:12.915:12.915:12.915:12.915:12.915:12.916:12.914:12.916:12.916,14.101:12.989:12.887:12.873:12.866:12.863:12.864:12.865:12.865:12.864:12.863:12.861:12.863:12.864:12.864:12.871:12.867:12.868:12.867:12.867
20,1000,3,100,5,SELU,339.274:22.765:13.69:12.95:12.891:12.886:12.885:12.884:12.884:12.883:12.883:12.883:12.882:12.883:12.882:12.882:12.882:12.882:15.536:19.165,38.543:15.078:13.083:12.918:12.899:12.897:12.898:12.896:12.896:12.894:12.895:12.895:12.894:12.893:12.894:12.894:12.893:12.893:57.559:13.564
20,1000,3,100,7,ELU,112.95:16.058:13.122:12.914:12.894:12.891:12.89:12.889:12.889:12.889:12.889:12.889:12.889:12.888:12.887:12.887:12.888:12.887:12.888:12.887,20.772:13.518:12.946:12.893:12.888:12.892:12.887:12.888:12.889:12.886:12.888:12.886:12.884:12.885:12.886:12.885:12.884:12.886:12.884:12.884
20,1000,3,100,7,ReLU,54.154:13.556:13.003:12.944:12.93:12.926:12.923:12.922:12.924:12.92:12.924:12.921:12.921:12.92:12.922:12.921:12.92:12.92:12.92:12.92,14.565:13.018:12.89:12.868:12.861:12.857:12.858:12.855:12.853:12.855:12.854:12.852:12.854:12.854:12.854:12.851:12.852:12.851:12.852:12.853
20,1000,3,100,7,SELU,456.6:27.352:13.922:12.957:12.872:12.865:12.863:12.863:12.862:12.863:12.862:12.862:12.862:12.862:12.862:12.861:12.862:26.852:15.869:13.079,61.67:15.349:13.106:12.936:12.917:12.916:12.916:12.916:12.915:12.915:12.914:12.913:12.914:12.916:12.914:12.914:12.915:22.793:13.38:12.989
